Date,Open,High,Low,Close,Adj Close,Volume,Fast_MA,Slow_MA,Signal,Daily_Return,Strategy_Return,Cumulative_Strategy_Return
2022-10-03,138.2100067138672,143.07000732421875,137.69000244140625,142.4499969482422,141.423583984375,114311700,,,0,,,
2022-10-04,145.02999877929688,146.22000122070312,144.25999450683594,146.10000610351562,145.04730224609375,87830100,,,0,0.02562309044204225,0.0,1.0
2022-10-05,144.07000732421875,147.3800048828125,143.00999450683594,146.39999389648438,145.34512329101562,79471000,,,0,0.0020533044519943644,0.0,1.0
2022-10-06,145.80999755859375,147.5399932861328,145.22000122070312,145.42999267578125,144.38211059570312,68402200,,,0,-0.0066256916744750205,-0.0,1.0
2022-10-07,142.5399932861328,143.10000610351562,139.4499969482422,140.08999633789062,139.0806121826172,85925600,,,0,-0.03671867294799025,-0.0,1.0
2022-10-10,140.4199981689453,141.88999938964844,138.57000732421875,140.4199981689453,139.40823364257812,74899000,,,0,0.0023556416566585803,0.0,1.0
2022-10-11,139.89999389648438,141.35000610351562,138.22000122070312,138.97999572753906,137.9785919189453,77033700,,,0,-0.01025496695758199,-0.0,1.0
2022-10-12,139.1300048828125,140.36000061035156,138.16000366210938,138.33999633789062,137.3431854248047,70433700,,,0,-0.004604974883602009,-0.0,1.0
2022-10-13,134.99000549316406,143.58999633789062,134.3699951171875,142.99000549316406,141.95973205566406,113224000,,,0,0.0336129050048255,0.0,1.0
2022-10-14,144.30999755859375,144.52000427246094,138.19000244140625,138.3800048828125,137.3829345703125,88598000,,,0,-0.03224001981433555,-0.0,1.0
2022-10-17,141.07000732421875,142.89999389648438,140.27000427246094,142.41000366210938,141.38389587402344,85250900,,,0,0.02912269574429982,0.0,1.0
2022-10-18,145.49000549316406,146.6999969482422,140.61000061035156,143.75,142.7142333984375,99136600,,,0,0.009409425626236034,0.0,1.0
2022-10-19,141.69000244140625,144.9499969482422,141.5,143.86000061035156,142.8234405517578,61758300,,,0,0.0007652216372282528,0.0,1.0
2022-10-20,143.02000427246094,145.88999938964844,142.64999389648438,143.38999938964844,142.35682678222656,64522000,,,0,-0.003267073673773546,-0.0,1.0
2022-10-21,142.8699951171875,147.85000610351562,142.64999389648438,147.27000427246094,146.20887756347656,86548600,,,0,0.027059103837980825,0.0,1.0
2022-10-24,147.19000244140625,150.22999572753906,146.0,149.4499969482422,148.37313842773438,75981900,,,0,0.014802693097965003,0.0,1.0
2022-10-25,150.08999633789062,152.49000549316406,149.36000061035156,152.33999633789062,151.24234008789062,74732300,,,0,0.019337567404898115,0.0,1.0
2022-10-26,150.9600067138672,151.99000549316406,148.0399932861328,149.35000610351562,148.2738800048828,88194300,,,0,-0.019627086164182295,-0.0,1.0
2022-10-27,148.07000732421875,149.0500030517578,144.1300048828125,144.8000030517578,143.7566680908203,109180200,,,0,-0.03046536903791064,-0.0,1.0
2022-10-28,148.1999969482422,157.5,147.82000732421875,155.74000549316406,154.61785888671875,164762400,144.5970001220703,,0,0.07555250145606562,0.0,1.0
2022-10-31,153.16000366210938,154.24000549316406,151.9199981689453,153.33999633789062,152.235107421875,97943200,145.14150009155273,,0,-0.015410357458724877,-0.0,1.0
2022-11-01,155.0800018310547,155.4499969482422,149.1300048828125,150.64999389648438,149.5644989013672,80379300,145.36899948120117,,0,-0.0175427318745901,-0.0,1.0
2022-11-02,148.9499969482422,152.1699981689453,145.0,145.02999877929688,143.98500061035156,93604600,145.3004997253418,,0,-0.03730498071609045,-0.0,1.0
2022-11-03,142.05999755859375,142.8000030517578,138.75,138.8800048828125,137.87933349609375,97918500,144.97300033569337,,0,-0.04240497792352105,-0.0,1.0
2022-11-04,142.08999633789062,142.6699981689453,134.3800048828125,138.3800048828125,137.61082458496094,140814800,144.88750076293945,,0,-0.003600230288167805,-0.0,1.0
2022-11-07,137.11000061035156,139.14999389648438,135.6699981689453,138.9199981689453,138.14781188964844,83374600,144.81250076293946,,0,0.003902249364639898,0.0,1.0
2022-11-08,140.41000366210938,141.42999267578125,137.49000549316406,139.5,138.724609375,89908500,144.8385009765625,,0,0.004175078021159573,0.0,1.0
2022-11-09,138.5,138.5500030517578,134.58999633789062,134.8699951171875,134.12033081054688,74917800,144.66500091552734,,0,-0.03318999915994625,-0.0,1.0
2022-11-10,141.24000549316406,146.8699951171875,139.5,146.8699951171875,146.0536346435547,118854000,144.8590003967285,,0,0.08897457132383879,0.0,1.0
2022-11-11,145.82000732421875,150.00999450683594,144.3699951171875,149.6999969482422,148.86788940429688,93979700,145.425,,0,0.019268754171310798,0.0,1.0
2022-11-14,148.97000122070312,150.27999877929688,147.42999267578125,148.27999877929688,147.45578002929688,73374100,145.71849975585937,,0,-0.009485625904429806,-0.0,1.0
2022-11-15,152.22000122070312,153.58999633789062,148.55999755859375,150.0399932861328,149.20599365234375,89868300,146.03299942016602,,0,0.011869399253607638,0.0,1.0
2022-11-16,149.1300048828125,149.8699951171875,147.2899932861328,148.7899932861328,147.96295166015625,64218300,146.27949905395508,,0,-0.00833111207633952,-0.0,1.0
2022-11-17,146.42999267578125,151.47999572753906,146.14999389648438,150.72000122070312,149.8822479248047,80389400,146.6459991455078,,0,0.01297135574741759,0.0,1.0
2022-11-18,152.30999755859375,152.6999969482422,149.97000122070312,151.2899932861328,150.44908142089844,74829600,146.8469985961914,,0,0.003781794458686649,0.0,1.0
2022-11-21,150.16000366210938,150.3699951171875,147.72000122070312,148.00999450683594,147.18728637695312,58724100,146.7749984741211,,0,-0.02168020969565021,-0.0,1.0
2022-11-22,148.1300048828125,150.4199981689453,146.92999267578125,150.17999267578125,149.34521484375,51804100,146.66699829101563,,0,0.014661159715434469,0.0,1.0
2022-11-23,149.4499969482422,151.8300018310547,149.33999633789062,151.07000732421875,150.2303009033203,58301400,146.75299835205078,,0,0.0059263196953200925,0.0,1.0
2022-11-25,148.30999755859375,148.8800048828125,147.1199951171875,148.11000061035156,147.28672790527344,35195900,146.91849822998046,,0,-0.01959360938875554,-0.0,1.0
2022-11-28,145.13999938964844,146.63999938964844,143.3800048828125,144.22000122070312,143.41836547851562,69246000,146.3424980163574,,0,-0.02626425881856731,-0.0,1.0
2022-11-29,144.2899932861328,144.80999755859375,140.35000610351562,141.1699981689453,140.38531494140625,83763800,145.73399810791017,,0,-0.021148266717113118,-0.0,1.0
2022-11-30,141.39999389648438,148.72000122070312,140.5500030517578,148.02999877929688,147.20716857910156,111380900,145.60299835205078,,0,0.04859389884061516,0.0,1.0
2022-12-01,148.2100067138672,149.1300048828125,146.61000061035156,148.30999755859375,147.48562622070312,71250400,145.76699829101562,,0,0.0018915002472865705,0.0,1.0
